site_number,Site|latitude,npv_us_dollars,PV|size_kw,Storage|size_kw,Storage|size_kwh,year_one_bill_us_dollars,year_one_bill_bau_us_dollars,net_capital_costs_plus_om_us_dollars
1,33.84,153038.0,299.848,64.8486,164.2393,77459.53,137773.49,424900.0
2,37.77,484946.0,353.4647,92.7484,314.7261,82792.88,191869.83,560247.0
3,40.71,123975.0,104.2151,70.0341,221.4456,128929.9,167739.69,247907.0
4,25.79,2269.0,17.1817,4.8187,6.3543,88926.73,91670.49,24023.0
5,33.45,17724.0,145.8905,0.0,0.0,81079.15,98733.99,151448.0
6,33.75,63499.0,99.1332,85.393,199.7113,90373.64,122688.68,246149.0
7,33.93,243613.0,331.9446,36.066,93.7822,85990.79,154069.29,408727.0
8,40.01,1322.0,0.0,9.141,12.0539,88532.64,89895.36,11735.0
9,40.01,16150.0,0.0,45.1367,59.5204,93496.05,101228.89,57948.0
10,36.11,16226.0,111.5258,0.0,0.0,65705.74,79481.32,115774.0
11,46.6,0.0,0.0,0.0,0.0,108503.5,108503.5,0.0
12,44.98,15594.0,102.0002,16.6067,21.8988,120778.44,135681.17,127206.0
13,47.61,0.0,0.0,0.0,0.0,96715.0,96715.0,0.0
14,39.29,0.0,0.0,0.0,0.0,93536.55,93536.55,0.0
15,41.85,0.0,0.0,0.0,0.0,40197.79,40197.79,0.0
